English,Marathi
fact,खरं
area,क्षेत्र
national,राष्ट्रीय
write,लिहा
money,पैसा
right,बरोबर
story,कथा
water,पाणी
mother,आई
different,भिन्न
young,तरुण
month,महिना
lot,लॉट
book,पुस्तक
eye,डोळा
study,अभ्यास
job,नोकरी
kind,प्रकार
word,शब्द
issue,मुद्दा
side,बाजू
four,चार
business,व्यवसाय
though,तरी
head,डोके
far,खूप दूर
long,लांब
black,काळा
million,दशलक्ष
both,दोन्ही
little,थोडे
yes,होय
after,#VALUE!
since,तेव्हापासून
around,आजूबाजूला
long,लांब
provide,प्रदान
service,सेवा
important,महत्वाचे
sit,बसा
away,लांब
friend,मित्र
however,तथापि
power,शक्ती
no,नाही
yet,अद्याप
father,वडील
hour,तास
often,अनेकदा
until,पर्यंत
political,राजकीय
line,ओळ
end,शेवट
stand,उभे रहा
among,#VALUE!
game,खेळ
ever,कधीही
lose,हरवा
bad,वाईट
member,सदस्य
meet,भेटा
pay,वेतन
law,कायदा
almost,जवळजवळ
car,गाडी
later,नंतर
much,खूप
name,नाव
include,समाविष्ट करा
five,पाच
center,मध्य
once,एकदा
university,विद्यापीठ
continue,सुरू
least,किमान
real,वास्तविक
white,पांढरा
change,#VALUE!
set,सेट
several,अनेक
ago,आधी
information,माहिती
nothing,काहीही नाही
community,समुदाय
best,सर्वोत्कृष्ट
right,बरोबर
idea,कल्पना
lead,आघाडी
body,शरीर
learn,जाणून घ्या
kid,मुल
minute,मिनिट
table,टेबल
whether,#VALUE!
understand,समजून घ्या
team,संघ
back,मागे
watch,पहा
together,एकत्र
follow,अनुसरण करा
around,आजूबाजूला
only,फक्त
stop,थांबवा
face,चेहरा
anything,काहीही
public,सार्वजनिक
social,सामाजिक
already,आधीच
parent,पालक
speak,बोला
create,तयार करा
office,कार्यालय
allow,परवानगी द्या
level,स्तर
read,वाचा
spend,खर्च करा
person,व्यक्ती
door,दरवाजा
sure,नक्की
add,जोडा
street,रस्ता
such,अशी
history,इतिहास
party,पार्टी
grow,वाढवा
reason,कारण
morning,सकाळी
open,उघडा
within,आत
change,#VALUE!
although,तरी
walk,चाला
news,बातम्या
health,आरोग्य
court,कोर्ट
force,शक्ती
early,लवकर
himself,स्वत: ला
air,#VALUE!
low,निम्न
before,आधी
art,कला
result,परिणाम
moment,क्षण
offer,ऑफर
both,दोन्ही
remember,लक्षात ठेवा
research,संशोधन
enough,पुरेसा
girl,मुलगी
boy,मुलगा
win,विजय
food,अन्न
across,ओलांडून
guy,माणूस
second,दुसरा
able,सक्षम
toward,दिशेने
maybe,कदाचित
process,प्रक्रिया
off,बंद
everything,सर्वकाही
appear,दिसू
age,वय
policy,धोरण
consider,विचार करा
including,यासह
probably,कदाचित
education,शिक्षण
love,प्रेम
actually,प्रत्यक्षात
buy,खरेदी
wait,प्रतीक्षा करा
die,मरणे
human,मानवी
send,पाठवा
fee,फी
expect,अपेक्षा
serve,सर्व्ह करा
sense,सेन्स
teacher,शिक्षक
home,मुख्यपृष्ठ
market,बाजार
stay,रहा
build,बांधा
nation,राष्ट्र
fall,गडी बाद होण्याचा क्रम
oh,अरे
death,मृत्यू
plan,योजना
interest,व्याज
someone,कोणीतरी
experience,अनुभव
cut,कट
kill,मार
behind,मागे
reach,#VALUE!
six,सहा
local,स्थानिक
remain,रहा
effect,प्रभाव
suggest,सूचित
use,वापर
control,नियंत्रण
perhaps,कदाचित
raise,वाढवा
class,वर्ग
late,उशीरा
little,थोडे
major,प्रमुख
yeah,होय
else,अन्यथा
pass,पास
photo,छायाचित्र
sell,विक्री करा
themselves,स्वत: ला
field,फील्ड
college,कॉलेज
sometimes,कधीकधी
former,माजी
development,विकास
require,आवश्यक
along,सोबत
decide,निर्णय घ्या
security,सुरक्षा
up,वर
possible,शक्य
effort,प्रयत्न
role,भूमिका
better,चांगले
rate,दर
strong,मजबूत
music,संगीत
report,अहवाल
leader,नेता
light,प्रकाश
whole,संपूर्ण
voice,आवाज
color,रंग
heart,#VALUE!
care,काळजी
police,पोलिस
economic,अर्थिक
wife,#VALUE!
show,दर्शवा
mind,मन
report,अहवाल
finally,शेवटी
drug,औषध
less,कमी
return,#VALUE!
according,त्यानुसार
pull,खेचा
decision,निर्णय
explain,स्पष्ट करणे
carry,कॅरी
develop,#VALUE!
view,दृश्य
free,फुकट
hope,आशा
even,सम
drive,चालवा
son,मुलगा
arm,हात
department,विभाग
TRUE,खरे
price,किंमत
military,सैन्य
federal,फेडरल
break,#VALUE!
action,क्रिया
value,मूल्य
thank,धन्यवाद
relationship,नाते
town,शहर
better,चांगले
building,इमारत
receive,प्राप्त करा
society,समाज
difference,फरक
church,चर्च
full,पूर्ण
join,सामील व्हा
road,रस्ता
because,कारण
international,आंतरराष्ट्रीय
model,मॉडेल
position,स्थिती
tax,कर
director,दिग्दर्शक
early,लवकर
agree,#VALUE!
matter,बाब
especially,विशेषतः
form,फॉर्म
record,विक्रम
special,विशेष
ground,ग्राउंड
whose,ज्याच्या
hard,कठीण
pick,निवडा
paper,कागद
official,अधिकृत
season,हंगाम
wear,#VALUE!
event,कार्यक्रम
support,समर्थन
space,जागा
player,प्लेअर
everyone,प्रत्येकजण
couple,जोडी
end,शेवट
base,पाया
project,प्रकल्प
produce,उत्पादन
site,जागा
situation,परिस्थिती
hit,दाबा
industry,उद्योग
half,अर्धा
activity,क्रियाकलाप
American,अमेरिकन
eat,खा
itself,स्वतः
need,#VALUE!
figure,आकृती
cost,किंमत
easy,सुलभ
quite,#VALUE!
face,चेहरा
picture,चित्र
clear,स्पष्ट
cover,कव्हर
describe,वर्णन करणे
image,प्रतिमा
teach,शिकवा
wall,भिंत
doctor,डॉक्टर
recent,अलीकडील
product,#VALUE!
data,डेटा
practice,सराव
phone,फोन
piece,तुकडा
certain,काही
either,एकतर
oil,तेल
simply,फक्त
test,चाचणी
personal,वैयक्तिक
star,तारा
land,#VALUE!
third,तिसऱ्या
general,सामान्य
computer,#VALUE!
movie,चित्रपट
worker,कामगार
open,उघडा
catch,झेल
type,#VALUE!
support,समर्थन
north,उत्तर
love,प्रेम
step,पाऊल
attention,लक्ष
technology,तंत्रज्ञान
organization,संस्था
baby,बाळ
source,स्त्रोत
draw,काढा
cause,कारण
tree,झाड
film,चित्रपट
choose,निवडा
evidence,पुरावा
Republican,रिपब्लिकन
difficult,कठीण
century,शतक
nearly,जवळजवळ
red,लाल
look,दिसत
point,पॉईंट
window,विंडो
park,पार्क
period,कालावधी
culture,संस्कृती
hair,केस
listen,ऐका
chance,संधी
less,कमी
available,उपलब्ध
brother,भाऊ
summer,उन्हाळा
realize,लक्षात घ्या
private,खाजगी
no,नाही
science,विज्ञान
letter,पत्र
congress,कॉंग्रेस
condition,परिस्थिती
short,लहान
likely,शक्यता
opportunity,संधी
rule,नियम
choice,निवड
single,एकल
place,ठिकाण
patient,#VALUE!
floor,मजला
term,मुदत
material,साहित्य
mile,मैल
administration,प्रशासन
well,बरं
course,कोर्स
defense,संरक्षण
plant,वनस्पती
energy,ऊर्जा
campaign,#VALUE!
population,लोकसंख्या
fire,आग
close,बंद
daughter,मुलगी
involve,सामील करा
husband,#VALUE!
wrong,चुकीचे
certainly,नक्कीच
increase,वाढवा
future,भविष्य
south,दक्षिण
medical,वैद्यकीय
call,कॉल
board,बोर्ड
anyone,कोणीही
deal,करार
hospital,हॉस्पिटल
rest,उर्वरित
seek,शोधा
myself,मी स्वत:
county,काउन्टी
fight,लढा
subject,विषय
risk,जोखीम
order,ऑर्डर
west,पश्चिम
economy,अर्थव्यवस्था
quickly,पटकन
throw,थ्रो
bed,बेड
officer,अधिकारी
represent,प्रतिनिधित्व करा
soon,लवकरच
top,शीर्ष
fill,भरा
author,लेखक
past,भूतकाळ
upon,वर
goal,ध्येय
behavior,वर्तन
drop,थेंब
nature,निसर्ग
agency,एजन्सी
plan,योजना
recently,#VALUE!
second,दुसरा
store,स्टोअर
foreign,परदेशी
current,चालू
performance,कामगिरी
bank,बँक
sound,आवाज
push,पुश
focus,फोकस
reduce,कमी करा
note,टीप
before,आधी
fine,छान
near,जवळ
than,पेक्षा पेक्षा
movement,#VALUE!
common,सामान्य
other,इतर
billion,अब्ज
blood,#VALUE!
page,पृष्ठ
concern,चिंता
poor,गरीब
enter,प्रविष्ट करा
share,वाटा
each,प्रत्येक
series,मालिका
usually,#VALUE!
natural,नैसर्गिक
hot,गरम
race,शर्यत
language,इंग्रजी
river,नदी
dead,मृत
act,कायदा
significant,महत्त्वपूर्ण
no,नाही
response,प्रतिसाद
rise,उदय
decade,दशक
article,लेख
thus,अशा प्रकारे
seven,सात
shoot,शूट
east,पूर्व
animal,प्राणी
away,लांब
similar,तत्सम
save,जतन करा
factor,घटक
central,मध्य
occur,उद्भवते
committee,समिती
serious,गंभीर
sport,खेळ
lie,खोटे बोलणे
beyond,पलीकडे
exactly,नक्की
despite,असूनही
happy,आनंदी
eight,आठ
protect,संरक्षण
list,यादी
size,आकार
quality,गुणवत्ता
pressure,दबाव
accept,स्वीकारा
ready,#VALUE!
approach,संपर्क साधा
sign,साइन
attack,हल्ला
individual,वैयक्तिक
career,करिअर
answer,उत्तर
dog,कुत्रा
media,मीडिया
thought,विचार
whatever,जे काही
determine,निश्चित करा
television,टेलिव्हिजन
meeting,बैठक
scene,देखावा
success,यश
prepare,तयार करा
identify,ओळखा
press,दाबा
particularly,विशेषतः
resource,संसाधन
amount,रक्कम
argue,वाद
recognize,ओळखा
treatment,उपचार
left,डावे
degree,पदवी
stock,साठा
indicate,दर्शवा
growth,वाढ
simple,सोपे
ability,#VALUE!
dollar,डॉलर
union,युनियन
disease,आजार
everybody,प्रत्येकजण
wonder,आश्चर्य
election,निवडणूक
loss,तोटा
box,बॉक्स
deal,करार
herself,स्वत: ला
fund,निधी
miss,मिस
pretty,सुंदर
region,प्रदेश
feeling,भावना
lay,ले
training,प्रशिक्षण
message,संदेश
arrive,आगमन
standard,मानक
outside,#VALUE!
fail,अपयशी
trade,व्यापार
staff,कर्मचारी
benefit,फायदा
character,वर्ण
army,सैन्य
association,असोसिएशन
operation,ऑपरेशन
present,#VALUE!
crime,गुन्हा
name,नाव
cup,कप
island,बेट
analysis,#VALUE!
check,तपासा
answer,उत्तर
photograph,फोटो
glass,काच
forward,#VALUE!
authority,अधिकार
earth,पृथ्वी
stage,स्टेज
one,एक
act,कायदा
sort,क्रमवारी
station,स्टेशन
clearly,स्पष्टपणे
little,थोडे
compare,तुलना करा
indeed,खरंच
public,सार्वजनिक
knowledge,ज्ञान
state,राज्य
blue,निळा
example,उदाहरण
strategy,रणनीती
mountain,डोंगर
guess,अंदाज
sister,बहीण
force,शक्ती
gun,बंदूक
various,विविध
laugh,हसणे
environment,वातावरण
design,डिझाइन
sun,सूर्य
lawyer,वकील
sex,लिंग
rather,त्याऐवजी
artist,कलाकार
club,क्लब
prove,सिद्ध करा
section,विभाग
skill,कौशल्य
truth,सत्य
set,सेट
ok,ठीक आहे
manager,#VALUE!
executive,कार्यकारी
district,जिल्हा
claim,हक्क
forget,विसरा
hang,फाशी देणे
entire,संपूर्ण
leg,पाय
enough,पुरेसा
design,डिझाइन
close,बंद
study,अभ्यास
since,तेव्हापासून
environmental,पर्यावरणविषयक
establish,स्थापना
democratic,लोकशाही
remove,काढा
main,मुख्य
professor,प्राध्यापक
financial,आर्थिक
enjoy,आनंद घ्या
network,नेटवर्क
sound,आवाज
discuss,चर्चा
form,फॉर्म
final,अंतिम
trial,चाचणी
legal,कायदेशीर
help,मदत
cold,थंड
above,वरील
rock,रॉक
that,ते
seat,सीट
weapon,शस्त्र
song,गाणे
expert,तज्ञ
radio,रेडिओ
nice,छान
avoid,#VALUE!
memory,मेमरी
management,व्यवस्थापन
charge,शुल्क
spring,#VALUE!
card,कार्ड
maintain,देखभाल
theory,सिद्धांत
care,काळजी
visit,भेट
imagine,कल्पना करा
finish,समाप्त
statement,विधान
firm,टणक
huge,प्रचंड
respond,प्रतिसाद द्या
popular,लोकप्रिय
hard,कठीण
physical,शारीरिक
talk,चर्चा
traditional,पारंपारिक
contain,समाविष्ट करा
peace,शांतता
green,हिरवा
thanks,धन्यवाद
control,नियंत्रण
Democrat,डेमोक्रॅट
base,पाया
impact,प्रभाव
structure,रचना
tonight,आज रात्री
note,टीप
direction,दिशा
fly,उड्डाण करा
onto,वर
king,राजा
reveal,प्रकट
cell,सेल
religious,धार्मिक
ball,बॉल
particular,विशेष
employee,कर्मचारी
head,डोके
suddenly,अचानक
apply,अर्ज करा
shake,शेक
cultural,सांस्कृतिक
chair,खुर्ची
PM,पंतप्रधान
justice,न्याय
discover,शोधा
measure,उपाय
politics,राजकारण
manage,व्यवस्थापित करा
treat,उपचार
yourself,तू स्वतः
pain,वेदना
evening,संध्याकाळ
rather,त्याऐवजी
unit,युनिट
affect,प्रभावित
play,#VALUE!
production,उत्पादन
bit,बिट
inside,आत
far,खूप दूर
range,#VALUE!
top,शीर्ष
worry,काळजी
perform,सादर करा
necessary,आवश्यक
conference,परिषद
individual,वैयक्तिक
candidate,उमेदवार
museum,संग्रहालय
specific,विशिष्ट
best,सर्वोत्कृष्ट
throughout,संपूर्ण
hall,हॉल
past,भूतकाळ
fish,मासे
trip,सहल
mention,उल्लेख
edge,धार
trouble,समस्या
interview,मुलाखत
style,शैली
middle,मध्य
cause,कारण
ten,दहा
weight,वजन
adult,#VALUE!
dream,स्वप्न
fear,भीती
dark,गडद
sign,साइन
method,पद्धत
somebody,कुणीतरी
magazine,मासिक
reflect,प्रतिबिंबित करा
heavy,भारी
soldier,सैनिक
property,मालमत्ता
beautiful,सुंदर
writer,लेखक
stuff,सामग्री
camera,कॅमेरा
improve,सुधारित करा
shoulder,खांदा
bar,बार
hotel,हॉटेल
instead,त्याऐवजी
hill,हिल
exist,अस्तित्वात आहे
sea,#VALUE!
institution,संस्था
purpose,हेतू
pattern,नमुना
detail,#VALUE!
machine,मशीन
challenge,आव्हान
owner,मालक
agent,एजंट
tough,#VALUE!
ahead,पुढे
generation,पिढी
commercial,व्यावसायिक
whom,ज्या
fall,गडी बाद होण्याचा क्रम
down,खाली
surface,#VALUE!
budget,अर्थसंकल्प
senator,सिनेटचा सदस्य
bag,पिशवी
reality,वास्तविकता
editor,संपादक
tend,प्रवृत्ती
address,पत्ता
civil,#VALUE!
step,पाऊल
discussion,चर्चा
test,चाचणी
mom,आई
violence,हिंसा
total,एकूण
skin,त्वचा
heat,उष्णता
council,परिषद
notice,सूचना
beat,बीट
nor,किंवा नाही
modern,आधुनिक
vote,मत द्या
sing,गा
cancer,#VALUE!
finger,बोट
lake,लेक
wish,शुभेच्छा
marriage,विवाह
victim,बळी
task,कार्य
yard,आवार
kitchen,#VALUE!
item,आयटम
responsibility,जबाबदारी
mouth,तोंड
agreement,करार
attorney,मुखत्यार
capital,भांडवल
threat,धोका
smile,स्मित
gas,गॅस
instead,त्याऐवजी
positive,सकारात्मक
track,ट्रॅक
investment,गुंतवणूक
account,खाते
break,#VALUE!
rich,श्रीमंत
citizen,नागरिक
audience,प्रेक्षक
lady,बाई
dinner,रात्रीचे जेवण
western,पाश्चात्य
debate,वादविवाद
consumer,ग्राहक
majority,बहुसंख्य
interesting,मनोरंजक
prevent,प्रतिबंध करा
travel,प्रवास
born,जन्म
relate,संबंधित
assume,समजा
none,काहीही नाही
admit,कबूल करा
front,#VALUE!
figure,आकृती
coach,प्रशिक्षक
partner,भागीदार
shot,शॉट
scientist,वैज्ञानिक
senior,वरिष्ठ
suffer,दु: ख
alone,एकटा
collection,संग्रह
successful,#VALUE!
speech,भाषण
eventually,#VALUE!
key,की
mission,मिशन
score,स्कोअर
newspaper,वृत्तपत्र
wind,वारा
reform,सुधारणा
concerned,संबंधित
professional,व्यावसायिक
relation,संबंध
troops,सैनिक
garden,बाग
access,प्रवेश
publish,प्रकाशित
recall,आठवते
Soviet,सोव्हिएत
cost,किंमत
southern,दक्षिणेकडील
senate,#VALUE!
opinion,मत
option,पर्याय
judge,न्यायाधीश
original,मूळ
customer,ग्राहक
critical,गंभीर
corner,कोपरा
basic,मूलभूत
income,उत्पन्न
directly,थेट
own,स्वत: चे
release,सोडणे
restaurant,उपहारगृह
neighborhood,शेजार
effective,प्रभावी
labor,श्रम
nobody,कोणीही नाही
stare,टक लावून पहा
immediately,लगेच
achieve,साध्य करा
forest,वन
dad,बाबा
hurt,दुखापत
video,व्हिडिओ
strike,संप
safety,सुरक्षा
absolutely,पूर्णपणे
therefore,म्हणून
freedom,स्वातंत्र्य
version,आवृत्ती
like,आवडले
plane,विमान
attitude,वृत्ती
sexual,लैंगिक
refer,संदर्भ
fresh,ताजे
involved,सहभागी
powerful,#VALUE!
bird,पक्षी
touch,स्पर्श
variety,विविधता
deep,खोल
text,मजकूर
wide,रुंद
credit,पत
nine,नऊ
sleep,झोप
investigation,तपास
hope,आशा
announce,घोषित करा
by,द्वारा
completely,#VALUE!
vote,मत द्या
conduct,आचरण
conflict,संघर्ष
replace,पुनर्स्थित करा
attend,उपस्थित रहा
participant,सहभागी
argument,युक्तिवाद
object,ऑब्जेक्ट
please,कृपया
nuclear,अणु
sky,आकाश
along,सोबत
afternoon,दुपारी
hundred,शंभर
encourage,प्रोत्साहित करा
perfect,परिपूर्ण
possibility,शक्यता
turn,वळण
British,ब्रिटिश
once,एकदा
examine,परीक्षण
conversation,संभाषण
generally,साधारणपणे
beginning,सुरुवात
secretary,सचिव
experience,अनुभव
beach,समुद्रकिनारा
safe,सुरक्षित
spirit,आत्मा
weekend,शनिवार व रविवार
date,तारीख
define,परिभाषित
feature,वैशिष्ट्य
global,जागतिक
very,खूप
element,#VALUE!
attempt,प्रयत्न
slowly,हळू हळू
governor,राज्यपाल
through,माध्यमातून
concept,संकल्पना
sorry,क्षमस्व
easily,सहज
battle,लढाई
league,लीग
camp,कॅम्प
introduce,परिचय
status,स्थिती
insurance,विमा
complete,पूर्ण
stick,काठी
solution,उपाय
web,वेब
vision,#VALUE!
stone,दगड
lack,कमतरता
driver,ड्रायव्हर
normal,सामान्य
truck,ट्रक
minister,मंत्री
handle,हँडल
hole,छिद्र
front,#VALUE!
fan,चाहता
spot,स्पॉट
crisis,संकट
supposed,मानले
refuse,नकार द्या
drink,पेय
researcher,संशोधक
tradition,परंपरा
communication,संप्रेषण
distance,अंतर
ship,जहाज
gain,मिळवा
express,व्यक्त
independent,स्वतंत्र
ice,बर्फ
scale,स्केल
brain,मेंदू
winter,हिवाळा
commission,#VALUE!
wood,लाकूड
increase,वाढवा
return,#VALUE!
division,विभागणी
species,प्रजाती
AM,आहे
roll,रोल
hide,लपवा
middle,मध्य
client,ग्राहक
resident,रहिवासी
contract,करार
gold,सोने
future,भविष्य
potential,संभाव्य
presence,उपस्थिती
institute,#VALUE!
screen,स्क्रीन
run,धाव
Chinese,चीनी
horse,घोडा
European,युरोपियन
target,लक्ष्य
willing,इच्छुक
survey,#VALUE!
interested,स्वारस्य
chief,प्रमुख
crowd,गर्दी
prison,कारागृह
terms,अटी
obviously,स्पष्टपणे
basis,आधार
apartment,अपार्टमेंट
farm,शेती
flight,उड्डाण
shape,आकार
demand,मागणी
strength,सामर्थ्य
village,गाव
operate,ऑपरेट करा
reporter,रिपोर्टर
share,वाटा
guard,रक्षक
observe,निरीक्षण करा
deliver,वितरित
count,गणना
inside,आत
advantage,फायदा
wild,वन्य
previous,मागील
average,सरासरी
emerge,उदय
contribute,योगदान द्या
leadership,नेतृत्व
boat,#VALUE!
facility,सुविधा
present,#VALUE!
earn,कमवा
highly,उच्च
vehicle,वाहन
pound,पाउंड
tiny,#VALUE!
understanding,समजूतदारपणा
settle,सेटल करा
unless,जोपर्यंत
tomorrow,उद्या
foundation,पाया
quick,द्रुत
block,ब्लॉक
light,प्रकाश
reader,वाचक
collect,गोळा करा
guest,अतिथी
living,जिवंत
tool,साधन
protection,संरक्षण
fair,योग्य
additional,अतिरिक्त
promote,प्रचार
equipment,उपकरणे
mostly,मुख्यतः
order,ऑर्डर
painting,चित्रकला
feed,अन्न देणे
principle,#VALUE!
bowl,वाटी
claim,हक्क
technique,#VALUE!
limit,मर्यादा
identity,ओळख
title,शीर्षक
critic,समीक्षक
survive,टिकून रहा
cry,#VALUE!
border,सीमा
lift,लिफ्ट
path,पथ
aspect,पैलू
marry,लग्न करा
shop,दुकान
failure,अयशस्वी
ride,राइड
responsible,जबाबदार
gather,गोळा करा
jump,उडी
sample,नमुना
affair,प्रकरण
result,परिणाम
worth,किमतीची
fit,फिट
chairman,अध्यक्ष
until,पर्यंत
lesson,धडा
Christmas,ख्रिसमस
insist,आग्रह धरा
anybody,कोणीही
folk,#VALUE!
band,बँड
ear,कान
procedure,प्रक्रिया
associate,सहयोगी
inch,इंच
warm,उबदार
African,आफ्रिकन
French,फ्रेंच
baseball,बेसबॉल
demonstrate,प्रात्यक्षिक
foot,पाय
Christian,ख्रिश्चन
approach,संपर्क साधा
competition,स्पर्धा
measure,उपाय
afraid,घाबरून
spread,#VALUE!
ignore,दुर्लक्ष करा
soft,मऊ
annual,वार्षिक
wonderful,आश्चर्यकारक
threaten,धमकी
commit,वचनबद्ध
deny,नाकार
intelligence,बुद्धिमत्ता
regular,नियमित
influence,प्रभाव
general,सामान्य
past,भूतकाळ
reaction,प्रतिक्रिया
cross,फुली
master,मास्टर
suit,खटला
blow,फटका
destroy,नष्ट करा
gift,भेट
coffee,कॉफी
anyway,असो
belief,विश्वास
comment,टिप्पणी
apparently,वरवर पाहता
twice,दोनदा
background,पार्श्वभूमी
quarter,तिमाहीत
review,पुनरावलोकन
faith,विश्वास
move,हलवा
speed,वेग
engage,व्यस्त
broad,व्यापक
perspective,दृष्टीकोन
slightly,किंचित
growing,वाढत आहे
view,दृश्य
function,कार्य
construction,बांधकाम
egg,अंडे
charge,शुल्क
wave,वेव्ह
female,#VALUE!
murder,खून
tape,टेप
burn,बर्न
means,#VALUE!
aware,जाणीव
mistake,चूक
quiet,शांत
connection,कनेक्शन
shoe,बूट
clothes,कपडे
promise,वचन
religion,धर्म
complete,पूर्ण
united,युनायटेड
context,संदर्भ
active,सक्रिय
focus,फोकस
youth,तरुण
location,स्थान
neighbor,शेजारी
dress,ड्रेस
Internet,इंटरनेट
category,वर्ग
dangerous,धोकादायक
extend,वाढवणे
combine,एकत्र
demand,मागणी
coast,किनारपट्टी
relatively,तुलनेने
smile,स्मित
bus,बस
hey,अहो
chief,प्रमुख
following,खालील
depend,अवलंबून
key,की
hell,नरक
visit,भेट
bone,हाड
cook,कूक
fire,आग
direct,थेट
native,मुळ
cool,मस्त
cut,कट
remind,स्मरणपत्र
historical,ऐतिहासिक
moral,नैतिक
voter,मतदार
appropriate,#VALUE!
famous,प्रसिद्ध
hire,भाड्याने द्या
victory,विजय
contact,संपर्क
fully,पूर्णपणे
negative,नकारात्मक
medicine,औषध
participate,सहभागी व्हा
grade,ग्रेड
eastern,पूर्व
supply,पुरवठा
yesterday,काल
familiar,परिचित
democracy,लोकशाही
pair,जोडी
drive,चालवा
healthy,निरोगी
front,#VALUE!
tie,टाय
birth,जन्म
progress,प्रगती
damage,नुकसान
exchange,एक्सचेंज
bottom,तळाशी
daily,दररोज
next,पुढे
document,दस्तऐवज
grand,ग्रँड
journal,जर्नल
knee,गुडघा
primary,प्राथमिक
otherwise,अन्यथा
train,ट्रेन
grab,पकडा
circle,मंडळ
lean,दुबळा
wine,वाइन
minority,अल्पसंख्याक
flower,फ्लॉवर
device,साधन
Iraqi,इराकी
plate,प्लेट
attack,हल्ला
clean,स्वच्छ
alive,जिवंत
actor,अभिनेता
hate,#VALUE!
expression,अभिव्यक्ती
below,खाली
bright,तेजस्वी
press,दाबा
tour,टूर
finding,शोधत आहे
exercise,व्यायाम
plastic,प्लास्टिक
danger,धोका
neck,मान
valley,व्हॅली
academic,शैक्षणिक
start,प्रारंभ करा
application,अर्ज
intend,हेतू
male,नर
tall,उंच
shut,बंद
lots,बरेच
Indian,भारतीय
respect,आदर
colleague,सहकारी
writing,लेखन
rain,पाऊस
fast,वेगवान
football,फुटबॉल
welcome,आपले स्वागत आहे
domestic,घरगुती
pool,तलाव
literature,साहित्य
extra,अतिरिक्त
northern,उत्तर
desire,इच्छा
direct,थेट
fight,लढा
corporate,कॉर्पोरेट
session,सत्र
supreme,सर्वोच्च
studio,स्टुडिओ
Russian,रशियन
nod,नोड
learning,शिकणे
climb,चढणे
importance,महत्त्व
somewhere,कुठेतरी
expand,विस्तृत करा
